Species;Gender;TrainingStatus;VO2max;Tissue;FiberType;ExType;ExDuration(sec);ExDuration(min);ExIntencity(%VO2max);CoFactor;Target;TargetOriginal;ImpactType;FoldChange; ActivationTime(min)  ;" TimePoint
(ours)  ";[Target0];[Target1];MeasureUnit;MethodOfMeasurement;Commentary;Ref;Reference
Homo sapiens;;active;;vastus lateralis;I;All-Out;8;0.133333333;200;;PCr/Cr;PCr/Cr;0;0.636363636363636;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;8;0.133333333;200;;PCr/Cr;PCr/Cr;0;0.578947368421053;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIb;All-Out;8;0.133333333;200;;PCr/Cr;PCr/Cr;0;0.5;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;I;All-Out;14;0.233333333;200;;PCr/Cr;PCr/Cr;0;0.454545454545455;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;14;0.233333333;200;;PCr/Cr;PCr/Cr;0;0.315789473684211;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIb;All-Out;14;0.233333333;200;;PCr/Cr;PCr/Cr;0;0.3;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;I;All-Out;20;0.3;200;;PCr/Cr;PCr/Cr;0;0.318181818181818;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;20;0.3;200;;PCr/Cr;PCr/Cr;0;0.210526315789474;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;IIb;All-Out;20;0.3;200;;PCr/Cr;PCr/Cr;0;0.2;;;;;;reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;four. seven and/or 10 MVC (1 s on. 1 s off) of the m. quadriceps (60grad-flexion angle);Beltman 2004;J. G. M. Beltman. A. J. Sargeant. H. Haan. W. van Mechelen3 and A. de Haan. Changes in PCr/Cr ratio in single characterized muscle fibre fragments after only a few maximal voluntary contractions in humans. Acta Physiol Scand 2004. 180. 187?193.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;PCr;Cr;0;0.54;;;43495;66.6;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;PCr;Cr;0;0.47;;;37.7;78.2;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;PCr;Cr;0;0.38;;;38.7;78.6;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666666666667;300;;PCr;Cr;0;0.41;;;36.4;94.9;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;I;All-Out;10;0.166666667;300;;PCr;PCr;0;0.54;;;69.5;37.5;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIa;All-Out;10;0.166666667;300;;PCr;PCr;0;0.47;;;73.6;34.3;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIax;All-Out;10;0.166666667;300;;PCr;PCr;0;0.38;;;73.3;43582;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
Homo sapiens;;active;;vastus lateralis;IIx;All-Out;10;0.166666666666667;300;;PCr;PCr;0;0.41;;;69.6;43552;mmol/(kg dry mass);reverse-phase high-performance liquid chromatography (HPLC) with ultra-violet photometric detection;10 s maximal effort at 120 crank revolutions per minute on an isokinetic cycle ergometer;Karatzaferi 2001;C. Karatzaferi. A. de Haan. W. van Mechelen and A. J. Sargeant. Metabolic changes in single human muscle fibres during brief maximal exercise. Experimental Physiology (2001) 86.3. 411?415.
